course_title,provider,description,tags,rating,students_enrolled,duration_weeks,cost_type,level,url,career_title
PMP Certification Prep,Udemy,Complete preparation for Project Management Professional certification exam.,"pmp, project management, Project Manager",4.6,9556,14,Premium,Intermediate,https://www.udemy.com/course/pmp-certification-exam-prep/,Project Manager
Agile Project Management,edX,Master Scrum and agile methodologies for project management.,"agile, scrum, Project Manager",4.7,24124,6,Premium,Intermediate,https://www.edx.org/course/agile-project-management,Project Manager
Instagram Marketing Strategy,Pluralsight,Build and execute successful Instagram marketing campaigns.,"instagram, social media, Social Media Manager",4.4,11985,5,Premium,Advanced,https://www.pluralsight.com/courses/social-media-marketing,Social Media Manager
Content Strategy for Social Media,Pluralsight,Develop engaging content strategies for multiple social platforms.,"content, strategy, Social Media Manager",4.0,5774,10,Premium,Advanced,https://www.pluralsight.com/courses/content-marketing-fundamentals,Social Media Manager
Circuit Analysis and Design,Udemy,Master electrical circuit analysis and electronic component design.,"circuits, electronics, Electrical Engineer",4.3,38583,14,Premium,Intermediate,https://www.udemy.com/course/electronics-engineering/,Electrical Engineer
Power Systems Engineering,edX,Study electrical power generation transmission and distribution systems.,"power systems, electrical, Electrical Engineer",4.1,34843,4,Free,Intermediate,https://www.edx.org/course/electrical-engineering,Electrical Engineer
Business Analysis Fundamentals,Coursera,Learn requirements gathering and business process modeling techniques.,"requirements, analysis, Business Analyst",4.6,48572,5,Premium,Intermediate,https://www.coursera.org/specializations/business-analysis,Business Analyst
CBAP Certification Training,LinkedIn Learning,Prepare for Certified Business Analysis Professional certification.,"cbap, certification, Business Analyst",4.9,34572,9,Premium,Advanced,https://www.linkedin.com/learning/business-analysis-foundations,Business Analyst
UiPath RPA Developer,edX,Learn robotic process automation using UiPath platform.,"uipath, rpa, Robotics Process Automation (RPA) Developer",4.4,49328,12,Premium,Intermediate,https://www.edx.org/course/robotic-process-automation,Robotics Process Automation (RPA) Developer
Blue Prism Automation,Udemy,Master Blue Prism for enterprise robotic process automation.,"blue prism, automation, Robotics Process Automation (RPA) Developer",4.7,43272,10,Premium,Advanced,https://www.udemy.com/course/blue-prism-training/,Robotics Process Automation (RPA) Developer
Game Design Fundamentals,LinkedIn Learning,Learn core game design principles and mechanics.,"game design, mechanics, Game Designer",4.1,47698,11,Premium,Advanced,https://www.linkedin.com/learning/game-design-foundations,Game Designer
Level Design Masterclass,edX,Create engaging game levels and environments.,"level design, gaming, Game Designer",4.2,9990,8,Premium,Advanced,https://www.edx.org/course/game-design,Game Designer
Tableau Desktop Specialist,edX,Master data visualization using Tableau for business intelligence.,"tableau, visualization, Data Visualization Specialist",5.0,14737,13,Free,Intermediate,https://www.edx.org/course/data-visualization-tableau,Data Visualization Specialist
Power BI for Data Visualization,Udemy,Create interactive dashboards and reports using Microsoft Power BI.,"power bi, dashboards, Data Visualization Specialist",4.3,7167,11,Premium,Intermediate,https://www.udemy.com/course/microsoft-power-bi/,Data Visualization Specialist
Network Security Fundamentals,LinkedIn Learning,Learn to secure network infrastructure and prevent cyber attacks.,"network security, firewall, Network Security Engineer",4.4,18239,14,Free,Beginner,https://www.linkedin.com/learning/network-security-fundamentals,Network Security Engineer
Firewall Configuration and Management,Pluralsight,Configure and manage enterprise firewall solutions.,"firewall, security, Network Security Engineer",4.5,49600,7,Free,Advanced,https://www.pluralsight.com/courses/firewall-fundamentals,Network Security Engineer
Systems Analysis and Design,edX,Learn to analyze and design information systems for organizations.,"systems design, analysis, Systems Analyst",4.3,34223,15,Premium,Beginner,https://www.edx.org/course/systems-analysis,Systems Analyst
Business Systems Analysis,Pluralsight,Analyze business processes and design technical solutions.,"business systems, it, Systems Analyst",4.8,43601,14,Premium,Intermediate,https://www.pluralsight.com/courses/business-systems-analysis,Systems Analyst
Content Marketing Strategy,Pluralsight,Develop and execute effective content marketing strategies.,"content marketing, seo, Content Strategist",4.2,19167,12,Free,Beginner,https://www.pluralsight.com/courses/content-strategy,Content Strategist
SEO Content Writing,edX,Create search-optimized content that drives organic traffic.,"seo, writing, Content Strategist",4.9,4831,5,Free,Beginner,https://www.edx.org/course/content-strategy,Content Strategist
Microcopy and UX Writing,Pluralsight,Write effective user interface copy and microcopy.,"ux writing, microcopy, UX Writer",4.8,6623,12,Premium,Advanced,https://www.pluralsight.com/courses/ux-writing,UX Writer
Writing for User Interfaces,LinkedIn Learning,Master the art of writing clear and helpful UI text.,"ui text, writing, UX Writer",4.6,27401,8,Premium,Beginner,https://www.linkedin.com/learning/ux-writing-fundamentals,UX Writer
Foot and Ankle Surgery,Coursera,Advanced techniques in podiatric surgery and treatment.,"podiatry, surgery, Podiatrist",4.9,34479,9,Free,Advanced,https://www.coursera.org/learn/foot-ankle-biomechanics,Podiatrist
Diabetic Foot Care Management,edX,Specialized care for diabetic foot conditions and complications.,"diabetes, foot care, Podiatrist",4.2,48403,12,Premium,Intermediate,https://www.edx.org/course/podiatric-medicine,Podiatrist
Geographic Information Systems,Udemy,Master GIS software for urban planning and spatial analysis.,"gis, mapping, Urban Planner",4.4,39824,15,Free,Beginner,https://www.udemy.com/course/gis-training/,Urban Planner
Sustainable Urban Development,Coursera,Plan sustainable and resilient urban environments.,"sustainability, cities, Urban Planner",4.8,41631,4,Premium,Advanced,https://www.coursera.org/learn/designing-cities,Urban Planner
Clinical Nutrition Fundamentals,LinkedIn Learning,Learn medical nutrition therapy and dietary assessment.,"nutrition, clinical, Dietetic Technician",4.6,15750,12,Premium,Intermediate,https://www.linkedin.com/learning/nutrition-science,Dietetic Technician
Therapeutic Diet Planning,Pluralsight,Design therapeutic diets for various medical conditions.,"diet therapy, nutrition, Dietetic Technician",4.7,22509,11,Premium,Beginner,https://www.pluralsight.com/courses/nutrition-fundamentals,Dietetic Technician
DNA Analysis and Forensics,edX,Apply DNA analysis techniques in forensic investigations.,"dna, forensics, Forensic Scientist",4.5,7060,8,Premium,Intermediate,https://www.edx.org/course/introduction-forensic-science,Forensic Scientist
Crime Scene Investigation,LinkedIn Learning,Master evidence collection and crime scene processing techniques.,"csi, evidence, Forensic Scientist",5.0,32801,14,Free,Intermediate,https://www.linkedin.com/learning/forensic-science-basics,Forensic Scientist
Spinal Adjustment Techniques,LinkedIn Learning,Learn chiropractic adjustment methods for spinal health.,"chiropractic, spine, Chiropractor",4.3,28851,8,Free,Beginner,https://www.linkedin.com/learning/anatomy-musculoskeletal,Chiropractor
Musculoskeletal Assessment,Coursera,Comprehensive musculoskeletal examination and diagnosis techniques.,"musculoskeletal, assessment, Chiropractor",4.5,4334,8,Premium,Beginner,https://www.coursera.org/learn/musculoskeletal-system,Chiropractor
Copywriting for Conversions,Udemy,Write persuasive copy that drives sales and conversions.,"copywriting, sales, Copywriter",4.4,42923,7,Premium,Beginner,https://www.udemy.com/course/copywriting-course/,Copywriter
Email Marketing Copywriting,LinkedIn Learning,Craft compelling email campaigns that generate results.,"email, marketing copy, Copywriter",4.6,6584,13,Premium,Advanced,https://www.linkedin.com/learning/copywriting-fundamentals,Copywriter
Vision Science and Optics,Coursera,Comprehensive study of vision science and optical principles.,"vision, optics, Optometrist",4.1,34340,4,Premium,Intermediate,https://www.coursera.org/learn/clinical-eye-care,Optometrist
Contact Lens Fitting,Coursera,Advanced contact lens fitting and management techniques.,"contact lenses, eye care, Optometrist",4.2,33835,5,Premium,Advanced,https://www.coursera.org/learn/vision-care,Optometrist
Product Design with CAD,Coursera,Use CAD software for industrial product design and development.,"cad, product design, Industrial Designer",4.1,6096,15,Premium,Intermediate,https://www.coursera.org/learn/product-design,Industrial Designer
Design for Manufacturing,Pluralsight,Design products optimized for manufacturing processes.,"manufacturing, design, Industrial Designer",4.6,8685,10,Free,Advanced,https://www.pluralsight.com/courses/industrial-design,Industrial Designer
Media Relations and PR Strategy,Udemy,Build effective media relationships and PR campaigns.,"pr, media relations, Public Relations Specialist",4.8,49382,8,Free,Beginner,https://www.udemy.com/course/public-relations/,Public Relations Specialist
Crisis Communication Management,edX,Handle organizational crisis communication effectively.,"crisis management, pr, Public Relations Specialist",4.7,2160,4,Free,Advanced,https://www.edx.org/course/public-relations,Public Relations Specialist
Pediatric Occupational Therapy,edX,Specialized OT techniques for pediatric populations.,"pediatrics, therapy, Occupational Therapist",4.5,11982,14,Premium,Advanced,https://www.edx.org/course/occupational-therapy,Occupational Therapist
Sensory Integration Therapy,Udemy,Implement sensory integration techniques in OT practice.,"sensory, therapy, Occupational Therapist",4.0,19099,12,Free,Advanced,https://www.udemy.com/course/occupational-therapy-assistant/,Occupational Therapist
Computational Linguistics,LinkedIn Learning,Apply computational methods to linguistic analysis.,"nlp, linguistics, Linguist",4.3,2468,7,Premium,Beginner,https://www.linkedin.com/learning/natural-language-processing,Linguist
Language Documentation Methods,Coursera,Document and preserve endangered languages systematically.,"language, documentation, Linguist",4.8,37032,6,Free,Beginner,https://www.coursera.org/learn/computational-linguistics,Linguist
Character Animation with Maya,Udemy,Create professional character animations using Autodesk Maya.,"maya, 3d animation, Animator",4.4,15876,7,Premium,Advanced,https://www.udemy.com/course/maya-animation/,Animator
2D Animation with After Effects,Udemy,Master 2D animation and motion graphics in After Effects.,"after effects, animation, Animator",4.4,27720,9,Free,Intermediate,https://www.udemy.com/course/after-effects-cc/,Animator
Clinical Medical Assisting,edX,Learn clinical procedures and patient care techniques.,"clinical, medical, Medical Assistant",4.6,39160,9,Premium,Advanced,https://www.edx.org/course/medical-assistant-training,Medical Assistant
Electronic Health Records,edX,Master EHR systems and medical documentation.,"ehr, medical records, Medical Assistant",4.6,36690,15,Premium,Intermediate,https://www.edx.org/course/electronic-health-records,Medical Assistant
Museum Studies and Curation,edX,Learn museum management and exhibition curation principles.,"museum, curation, Curator",4.3,6129,4,Premium,Intermediate,https://www.edx.org/course/museum-studies,Curator
Digital Collections Management,Udemy,Manage and preserve digital museum collections.,"digital archives, museums, Curator",4.7,20994,13,Free,Advanced,https://www.udemy.com/course/museum-curation/,Curator
Medical Device Design,edX,Design and develop medical devices and equipment.,"medical devices, engineering, Biomedical Engineer",4.5,13436,11,Premium,Intermediate,https://www.edx.org/course/biomedical-engineering,Biomedical Engineer
Biomaterials and Tissue Engineering,LinkedIn Learning,Study biomaterials for medical implants and tissue engineering.,"biomaterials, tissue, Biomedical Engineer",4.1,15689,15,Premium,Beginner,https://www.linkedin.com/learning/biomedical-engineering-basics,Biomedical Engineer
Wildlife Conservation Methods,Udemy,Learn wildlife management and conservation techniques.,"conservation, wildlife, Forest Ranger",4.1,18603,5,Premium,Beginner,https://www.udemy.com/course/wildlife-conservation/,Forest Ranger
Forest Fire Management,Coursera,Master forest fire prevention and suppression strategies.,"fire management, forestry, Forest Ranger",4.1,34709,15,Premium,Advanced,https://www.coursera.org/learn/forest-management,Forest Ranger
Quantitative Finance with Python,Udemy,Apply Python programming to quantitative finance and risk modeling.,"quant finance, python, Financial Quantitative Analyst",4.3,24751,6,Premium,Intermediate,https://www.udemy.com/course/python-for-finance/,Financial Quantitative Analyst
Derivatives and Risk Management,LinkedIn Learning,Master financial derivatives pricing and risk management strategies.,"derivatives, risk, Financial Quantitative Analyst",4.8,47588,8,Premium,Intermediate,https://www.linkedin.com/learning/financial-derivatives,Financial Quantitative Analyst
Marine Ecology and Conservation,Coursera,Study marine ecosystems and conservation strategies.,"marine ecology, ocean, Marine Biologist",4.7,29602,10,Premium,Beginner,https://www.coursera.org/learn/marine-biology,Marine Biologist
Coral Reef Ecology,Udemy,Specialized study of coral reef ecosystems and research methods.,"coral reefs, marine, Marine Biologist",4.4,1905,12,Premium,Advanced,https://www.udemy.com/course/marine-biology-course/,Marine Biologist
Travel Planning and Booking Systems,LinkedIn Learning,Master GDS systems and travel planning technologies.,"gds, travel booking, Travel Agent",4.2,39646,14,Free,Intermediate,https://www.linkedin.com/learning/travel-tourism-management,Travel Agent
Sustainable Tourism Development,edX,Plan and promote sustainable tourism practices.,"sustainable tourism, travel, Travel Agent",4.9,30168,12,Premium,Intermediate,https://www.edx.org/course/sustainable-tourism,Travel Agent
Pharmaceutical Sciences,LinkedIn Learning,Comprehensive pharmaceutical knowledge and drug therapy.,"pharmacy, drugs, Pharmacist",4.7,15163,13,Premium,Beginner,https://www.linkedin.com/learning/pharmaceutical-sciences,Pharmacist
Clinical Pharmacy Practice,Udemy,Advanced clinical pharmacy and patient counseling skills.,"clinical pharmacy, patient care, Pharmacist",4.8,36823,4,Free,Intermediate,https://www.udemy.com/course/pharmacy-technician/,Pharmacist
Consumer Behavior Analysis,Udemy,Analyze consumer behavior patterns and market trends.,"consumer research, analytics, Market Research Analyst",4.9,43959,11,Free,Beginner,https://www.udemy.com/course/market-research/,Market Research Analyst
Survey Design and Analysis,Pluralsight,Design and analyze market research surveys effectively.,"surveys, research, Market Research Analyst",4.6,14343,14,Free,Advanced,https://www.pluralsight.com/courses/market-research-fundamentals,Market Research Analyst
School Psychology and Counseling,Pluralsight,Provide psychological support and counseling in educational settings.,"counseling, education, School Counselor",4.6,3811,7,Premium,Advanced,https://www.pluralsight.com/courses/educational-psychology,School Counselor
Career Guidance and Assessment,edX,Help students with career planning and assessment.,"career counseling, education, School Counselor",4.4,34108,11,Premium,Advanced,https://www.edx.org/course/school-counseling,School Counselor
Hydroponic Farming Systems,edX,Design and manage hydroponic urban farming systems.,"hydroponics, agriculture, Urban Farmer",4.4,9942,11,Premium,Beginner,https://www.edx.org/course/urban-agriculture,Urban Farmer
Vertical Farming Technology,LinkedIn Learning,Implement vertical farming solutions for urban environments.,"vertical farming, urban agriculture, Urban Farmer",4.7,1404,13,Free,Advanced,https://www.linkedin.com/learning/sustainable-agriculture,Urban Farmer
Wedding and Event Planning,LinkedIn Learning,Plan and coordinate successful weddings and special events.,"wedding planning, events, Event Planner",4.5,39324,5,Premium,Advanced,https://www.linkedin.com/learning/event-planning-foundations,Event Planner
Corporate Event Management,Udemy,Organize professional corporate events and conferences.,"corporate events, planning, Event Planner",4.6,31905,12,Free,Advanced,https://www.udemy.com/course/event-management/,Event Planner
Residential Design with AutoCAD,Coursera,Design residential interiors using AutoCAD and 3D visualization.,"autocad, residential design, Interior Designer",4.2,4270,4,Free,Beginner,https://www.coursera.org/learn/interior-design,Interior Designer
Commercial Interior Design,Coursera,Create functional commercial interior spaces.,"commercial design, interiors, Interior Designer",4.8,18616,14,Premium,Beginner,https://www.coursera.org/specializations/interior-design,Interior Designer
Adobe Creative Suite Mastery,edX,Master Adobe Photoshop Illustrator and InDesign for graphic design.,"adobe, photoshop, Graphic Designer",4.7,45378,15,Premium,Beginner,https://www.edx.org/course/graphic-design,Graphic Designer
Brand Identity Design,Pluralsight,Create compelling brand identities and visual systems.,"branding, logo design, Graphic Designer",4.3,38926,9,Free,Beginner,https://www.pluralsight.com/courses/graphic-design-fundamentals,Graphic Designer